element,id,geometry,amenity,tourism,leisure,name,name:en,int_name,name:ja,ele,natural,addr:city,addr:postcode,addr:quarter,operator,operator:type,addr:province,opening_hours,source,description,website,name:ja-Latn,wikidata,addr:neighbourhood,direction,man_made,tower:construction,tower:type,layer,note,note:ja,source_ref,alt_name:fr,fee,name:fr,name:ja-Hira,wikimedia_commons,wikipedia,name:de,survey:date,addr:block_number,social_facility,KSJ2:BDC,KSJ2:DFC,KSJ2:DFC_label,KSJ2:PRC,KSJ2:PRC_label,KSJ2:forest_id,source:en,source:ja,landuse,surface,access,building,addr:full,addr:housenumber,shelter_type,source:name,height,crop,fixme,addr:county,phone,area,highway,operator:wikidata,place,contact:tripadvisor,contact:website,name:es,start_date,short_name,building:levels,roof:colour,roof:levels,roof:shape,level,addr:country,sport,bench,emergency,name:ja_kana,type,operator:ja,source:outline,addr:suburb,name:ja_rm,assembly_point:earthquake,assembly_point:fire,assembly_point:tsunami,shelter_type:ja,official_name,garden:type,barrier,fence_type,source:date,leaf_type,alt_name,private,check_date,opening_date,source:geometry,alt_name:en,alt_name:ja-Hira,alt_name:ja-Latn,architect,architect:wikidata,internet_access,name:it,name:vi,name:zh,short_name:en,short_name:fr,short_name:ja-Hira,short_name:ja-Latn,subject,subject:wikidata,mapillary,latitude,longitude
node,4039398889,POINT (133.5240363 33.9288445),,,park,金砂湖畔公園,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9288445,133.5240363
node,4074921491,POINT (133.5348828 33.9404073),,viewpoint,,翠波高原展望台,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9404073,133.5348828
node,4075039159,POINT (133.5326072 33.9435055),,viewpoint,,翠波峰北峰展望台,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9435055,133.5326072
node,4075039762,POINT (133.5360542 33.9420153),,viewpoint,,翠波峰西峰展望台,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9420153,133.5360542
node,4075040504,POINT (133.5396455 33.9423988),,viewpoint,,翠波峰東峰展望台,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9423988,133.5396455
node,4088012334,POINT (133.6848484 33.9263964),,viewpoint,,塩塚高原展望台,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9263964,133.6848484
node,4107819006,POINT (133.6698205 33.9555486),,viewpoint,,新宮あじさいの里展望所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9555486,133.6698205
node,4175746392,POINT (132.3201336 34.3692461),,viewpoint,,展望台,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3692461,132.3201336
node,4285799112,POINT (132.7128379 34.4037932),,,park,移設古墳群と文学の小庭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4037932,132.7128379
node,4287068889,POINT (132.0270355 34.6462678),,,park,みと自然の森,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6462678,132.0270355
