OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-32034,2024-132V,2025-10-07T19:26:41.999971,15.3021601,0.0001276,53.1601,42.6269,90.3383,233.7639,0,C,60297,280,1,-0.0009082,-0.00026945,0,0.452,SpaceX-E
STARLINK-32124,2024-132W,2025-10-07T18:54:41.999990,15.30179119,9.82e-05,53.1591,42.8683,81.6481,50.1913,0,C,60298,280,1,0.00013128,3.8941e-05,0,0.313,SpaceX-E
STARLINK-32151,2024-132X,2025-10-07T19:24:41.999962,15.3020236,0.0001185,53.1595,14.1067,83.6365,149.6525,0,C,60299,280,1,-0.0005742,-0.00017033,0,0.441,SpaceX-E
STARLINK-32134,2024-132Y,2025-10-07T19:28:41.999981,15.30187265,0.0001332,53.1608,42.516,84.9061,299.2077,0,C,60300,280,1,-3.6745e-05,-1.09e-05,0,0.352,SpaceX-E
STARLINK-11147 [DTC],2024-133A,2025-10-07T18:40:42.000010,15.69706931,0.0001061,53.1574,180.2441,87.4819,309.0038,0,C,60301,280,1,-8.5787e-05,-0.00010409,0,0.408,SpaceX-E
STARLINK-11128 [DTC],2024-133B,2025-10-07T18:45:41.999990,15.69707443,0.000102,53.1572,180.1699,81.51,2.3464,0,C,60302,280,1,-0.00010549,-0.00012799,0,0.412,SpaceX-E
STARLINK-11227 [DTC],2024-133C,2025-10-07T18:44:42.000029,15.69709136,0.0001033,53.157,180.1159,83.6202,24.048,0,C,60303,280,1,-9.1987e-05,-0.00011162,0,0.409,SpaceX-E
STARLINK-11224 [DTC],2024-133D,2025-10-07T18:38:42.000000,15.69702448,0.0001063,53.1569,180.0788,91.1776,20.6745,0,C,60304,280,1,-5.0537e-05,-6.1318e-05,0,0.362,SpaceX-E
STARLINK-11115 [DTC],2024-133E,2025-10-07T18:42:42.000019,15.69711536,9.47e-05,53.157,180.0079,90.0209,65.2639,0,C,60305,280,1,-0.00012625,-0.00015318,0,0.489,SpaceX-E
STARLINK-11109 [DTC],2024-133F,2025-10-07T18:42:42.000019,15.6971517,9.31e-05,53.1571,179.9509,86.7399,96.2845,0,C,60306,280,1,-0.00016173,-0.00019622,0,0.54,SpaceX-E
STARLINK-11223 [DTC],2024-133G,2025-10-07T18:39:41.999962,15.69700912,9.81e-05,53.1576,179.8471,98.2268,128.501,0,C,60307,280,1,-6.038e-05,-7.3252e-05,0,0.434,SpaceX-E
STARLINK-11192 [DTC],2024-133H,2025-10-07T18:43:41.999981,15.69709479,9.67e-05,53.1573,179.8904,93.0745,121.6188,0,C,60308,280,1,-0.00013092,-0.00015883,0,0.521,SpaceX-E
STARLINK-11213 [DTC],2024-133J,2025-10-07T18:39:41.999962,15.69714876,0.0001039,53.1577,179.7898,104.034,150.4222,0,C,60309,280,1,-0.00015914,-0.00019308,0,0.48,SpaceX-E
STARLINK-11200 [DTC],2024-133K,2025-10-07T18:43:41.999981,15.69699062,0.0001162,53.1573,179.7186,70.1292,227.7767,0,C,60310,280,1,-3.5169e-05,-4.2669e-05,0,0.408,SpaceX-E
STARLINK-11206 [DTC],2024-133M,2025-10-07T18:42:42.000019,15.697095,0.0001096,53.1569,180.3422,86.155,262.7147,0,C,60312,280,1,-0.00010406,-0.00012626,0,0.394,SpaceX-E
